CDF=0.1, threshold=0.00110224
CDF=0.3, threshold=0.00120941
CDF=0.5, threshold=0.00137827
CDF=0.6, threshold=0.00153257
CDF=0.8, threshold=0.00238096
CDF=0.9, threshold=0.00525473
CDF=0.95, threshold=0.0103921
CDF=0.99, threshold=0.0510387
CDF=0.999, threshold=0.227198
CDF=0.9999, threshold=0.250027
CDF=0.999999, threshold=0.250027
CDF=0.99999999, threshold=0.250027
CDF=1, threshold=0.296791
