CDF=0.1, threshold=0.00722464
CDF=0.3, threshold=0.00811948
CDF=0.5, threshold=0.00847392
CDF=0.6, threshold=0.00861569
CDF=0.8, threshold=0.00909916
CDF=0.9, threshold=0.00954708
CDF=0.95, threshold=0.0102712
CDF=0.99, threshold=0.0119773
CDF=0.999, threshold=0.0144369
CDF=0.9999, threshold=0.0144369
CDF=0.999999, threshold=0.0144369
CDF=0.99999999, threshold=0.0144369
CDF=1, threshold=0.0157369
