CDF=0.1, threshold=5.45621e-05
CDF=0.3, threshold=0.000109206
CDF=0.5, threshold=0.000138397
CDF=0.6, threshold=0.000144759
CDF=0.8, threshold=0.000173016
CDF=0.9, threshold=0.000394172
CDF=0.95, threshold=0.000966412
CDF=0.99, threshold=0.00388164
CDF=0.999, threshold=0.0109176
CDF=0.9999, threshold=0.0109176
CDF=0.999999, threshold=0.0109176
CDF=0.99999999, threshold=0.0109176
CDF=1, threshold=0.0126653
