CDF=0.1, threshold=0.0397231
CDF=0.3, threshold=0.0398615
CDF=0.5, threshold=0.0399182
CDF=0.6, threshold=0.0399368
CDF=0.8, threshold=0.0399953
CDF=0.9, threshold=0.0400575
CDF=0.95, threshold=0.0402232
CDF=0.99, threshold=0.0409075
CDF=0.999, threshold=0.0419764
CDF=0.9999, threshold=0.0419764
CDF=0.999999, threshold=0.0419764
CDF=0.99999999, threshold=0.0419764
CDF=1, threshold=0.0424316
