CDF=0.1, threshold=0.0051204
CDF=0.3, threshold=0.00855873
CDF=0.5, threshold=0.0108185
CDF=0.6, threshold=0.0118627
CDF=0.8, threshold=0.0141182
CDF=0.9, threshold=0.0197393
CDF=0.95, threshold=0.0332555
CDF=0.99, threshold=0.158571
CDF=0.999, threshold=0.557539
CDF=0.9999, threshold=0.585937
CDF=0.999999, threshold=0.585937
CDF=0.99999999, threshold=0.585937
CDF=1, threshold=1.99179
