CDF=0.1, threshold=4.15097e-05
CDF=0.3, threshold=0.000118153
CDF=0.5, threshold=0.000313769
CDF=0.6, threshold=0.000485621
CDF=0.8, threshold=0.00191543
CDF=0.9, threshold=0.0052392
CDF=0.95, threshold=0.0110446
CDF=0.99, threshold=0.0514878
CDF=0.999, threshold=0.131457
CDF=0.9999, threshold=0.220841
CDF=0.999999, threshold=0.220841
CDF=0.99999999, threshold=0.220841
CDF=1, threshold=0.421093
