CDF=0.1, threshold=4.90627e-05
CDF=0.3, threshold=0.000130407
CDF=0.5, threshold=0.000187488
CDF=0.6, threshold=0.000240021
CDF=0.8, threshold=0.00111695
CDF=0.9, threshold=0.00423817
CDF=0.95, threshold=0.0159678
CDF=0.99, threshold=0.0764865
CDF=0.999, threshold=0.217665
CDF=0.9999, threshold=0.355753
CDF=0.999999, threshold=0.355753
CDF=0.99999999, threshold=0.355753
CDF=1, threshold=1.09263
