CDF=0.1, threshold=8.18123e-05
CDF=0.3, threshold=0.000212552
CDF=0.5, threshold=0.000398352
CDF=0.6, threshold=0.000605782
CDF=0.8, threshold=0.00182756
CDF=0.9, threshold=0.00543324
CDF=0.95, threshold=0.0152173
CDF=0.99, threshold=0.0841274
CDF=0.999, threshold=0.235577
CDF=0.9999, threshold=0.289114
CDF=0.999999, threshold=0.289114
CDF=0.99999999, threshold=0.289114
CDF=1, threshold=0.320535
