CDF=0.1, threshold=6.65696e-05
CDF=0.3, threshold=0.000146662
CDF=0.5, threshold=0.000188161
CDF=0.6, threshold=0.000198098
CDF=0.8, threshold=0.000235537
CDF=0.9, threshold=0.000494378
CDF=0.95, threshold=0.00112497
CDF=0.99, threshold=0.00444165
CDF=0.999, threshold=0.012292
CDF=0.9999, threshold=0.0184151
CDF=0.999999, threshold=0.0184151
CDF=0.99999999, threshold=0.0184151
CDF=1, threshold=0.0201474
