CDF=0.1, threshold=7.15277e-05
CDF=0.3, threshold=0.00020699
CDF=0.5, threshold=0.000292933
CDF=0.6, threshold=0.000349445
CDF=0.8, threshold=0.00139527
CDF=0.9, threshold=0.00474003
CDF=0.95, threshold=0.0137822
CDF=0.99, threshold=0.0946471
CDF=0.999, threshold=0.246024
CDF=0.9999, threshold=0.39156
CDF=0.999999, threshold=0.39156
CDF=0.99999999, threshold=0.39156
CDF=1, threshold=1.24121
