CDF=0.1, threshold=0.023016
CDF=0.3, threshold=0.0234869
CDF=0.5, threshold=0.0235841
CDF=0.6, threshold=0.0236078
CDF=0.8, threshold=0.0236411
CDF=0.9, threshold=0.0236781
CDF=0.95, threshold=0.0237244
CDF=0.99, threshold=0.0238516
CDF=0.999, threshold=0.024188
CDF=0.9999, threshold=0.0242764
CDF=0.999999, threshold=0.0242764
CDF=0.99999999, threshold=0.0242764
CDF=1, threshold=0.0245936
